Customer ID,edad,genero,ubicacion,suscripcion,abandono,compras_registradas,gasto_total_usd,gasto_promedio_usd,primera_compra,ultima_compra,recencia_dias,cluster,segmento,recencia_log
1,55,Male,Kentucky,Yes,1,15,857.9,57.19,2022-01-07,2024-07-09,175,0,Clientes de baja actividad,5.170483995038151
2,19,Male,Maine,Yes,0,3,188.5,62.83,2023-09-01,2024-11-20,41,0,Clientes de baja actividad,3.7376696182833684
3,50,Male,Massachusetts,Yes,0,24,1262.4,52.6,2022-04-04,2024-12-29,2,2,Clientes recientes en desarrollo,1.0986122886681098
4,21,Male,Rhode Island,Yes,0,50,2675.0,53.5,2022-01-01,2024-12-31,0,1,Clientes de alto valor activos,0.0
5,45,Male,Oregon,Yes,0,32,1785.5,55.8,2022-01-01,2024-12-27,4,1,Clientes de alto valor activos,1.6094379124341003
6,46,Male,Wyoming,Yes,0,15,819.4,54.63,2022-12-25,2024-12-28,3,2,Clientes recientes en desarrollo,1.3862943611198906
7,63,Male,Montana,Yes,0,50,2514.7,50.29,2022-03-02,2024-12-27,4,1,Clientes de alto valor activos,1.6094379124341003
8,27,Male,Louisiana,Yes,0,20,985.9,49.3,2022-03-25,2024-12-26,5,2,Clientes recientes en desarrollo,1.791759469228055
9,26,Male,West Virginia,Yes,0,9,521.3,57.92,2022-03-18,2024-12-29,2,2,Clientes recientes en desarrollo,1.0986122886681098
10,57,Male,Missouri,Yes,0,5,199.9,39.98,2022-09-10,2024-11-30,31,0,Clientes de baja actividad,3.4657359027997265
11,53,Male,Arkansas,Yes,1,27,1354.5,50.17,2022-03-04,2024-07-16,168,3,Clientes valiosos en riesgo,5.1298987149230735
12,30,Male,Hawaii,Yes,0,11,543.8,49.44,2022-01-21,2024-12-25,6,2,Clientes recientes en desarrollo,1.9459101490553132
13,61,Male,Delaware,Yes,0,38,1642.3,43.22,2022-03-06,2024-11-26,35,3,Clientes valiosos en riesgo,3.58351893845611
14,65,Male,New Hampshire,Yes,0,32,1502.2,46.94,2022-03-12,2024-12-20,11,3,Clientes valiosos en riesgo,2.4849066497880004
15,64,Male,New York,Yes,0,35,1974.2,56.41,2022-04-17,2024-12-29,2,1,Clientes de alto valor activos,1.0986122886681098
16,64,Male,Rhode Island,Yes,0,9,436.6,48.51,2022-12-01,2024-12-23,8,2,Clientes recientes en desarrollo,2.1972245773362196
17,25,Male,Alabama,Yes,0,45,2445.6,54.35,2022-02-19,2024-12-27,4,1,Clientes de alto valor activos,1.6094379124341003
18,53,Male,Mississippi,Yes,0,37,1795.1,48.52,2022-01-23,2024-12-20,11,1,Clientes de alto valor activos,2.4849066497880004
19,52,Male,Montana,Yes,0,18,1061.9,58.99,2022-03-25,2024-12-20,11,2,Clientes recientes en desarrollo,2.4849066497880004
